ルマン24時間耐久レース,ルマンニジュウヨジカンタイキュウレース
forSC,フォーエスシィ
WSposition,ダブルエスポジション
positionpaper,ポジションペーパー
yourstoday,ユアーズトゥデイ
受賞者,ジュショウシャ
ICT女子,アイシーティージョシ
ソフトウェア開発者,ソフトウェアカイハツシャ
ICT分野,アイシーティーブンヤ
最高峰賞,サイコウホウショウ
受賞者,ジュショウシャ
人材ベース,ジンザイベース
ICT女子,アイシーティージョシ
海外法人,カイガイホウジン
勤務地,キンムチ
代後半,ダイコウハン
後半以降,コウハンイコウ
経験者,ケイケンシャ
インダストリー,インダストリー
抵抗感,テイコウカン
ポスドク地獄,ポスドクジゴク
代半ば,ダイナカバ
インダストリー,インダストリー
欧州便,オウシュウビン
便行き,ビンイキ
朝発,アサハツ
ホップ以上,ホップイジョウ
深夜着,シンヤギ
荷物預け,ニモツアヅケ
日本朝,ニッポンチョウ
朝便,チョウビン
当日入り,トウジツイリ
語学学習,ゴガクガクシュウ
語学問題,ゴガクモンダイ
東大情報基盤センター,トウダイジョウホウキバンセンター
広報専任,コウホウセンニン
政府発,セイフハツ
・世,・セイ
雇用マーケット,コヨウマーケット
職種要員,ショクシュヨウイン
インド中国,インドチュウゴク
国際的,コクサイテキ
場で先,バデサキ
北欧人,ホクオウジン
造り国際,ツクリコクサイ
国際IT,コクサイアイティー
ITコミュニティ,アイティーコミュニティ
シリコンバレー企業,シリコンバレーキギョウ
万ドル,マンドル
ドル以上,ドルイジョウ
博士出身,ハカセシュッシン
皆そう,ミナソウ
brai,ビーアールアイ
ain's,アイエヌズ
プアさ,プアサ
雇用企業,コヨウキギョウ
企業側,キギョウガワ
IT関連,アイティーカンレン
労働コスト,ロウドウコスト
onthe,オンザ
theNew,ザニュー
ニューラルネット界隈,ニューラルネットカイワイ
スパコン予算,スパコンヨサン
復活劇,フッカツゲキ
某省,ボウショウ
ペタAI,ペタアイ
AIスパコン,アイスパコン
ICT女子,アイシーティージョシ
大変謎,タイヘンナゾ
主催団体,シュサイダンタイ
研究レベル,ケンキュウレベル
ニューロ系,ニューロケイ
特化,トクカ
2016年4月,ニセンジュウロクネンシガツ
世界半導体,セカイハンドウタイ
半導体市場,ハンドウタイシジョウ
前年比,ゼンネンヒ
％減,パーセントゲン
億ドル,オクドル
ヶ月連続,カゲツレンゾク
連続前年,レンゾクゼンネン
前年実績,ゼンネンジッセキ
実績割れ,ジッセキワレ
共同研究,キョウドウケンキュウ
研究拠点,ケンキュウキョテン
携帯SoC,ケイタイエスオーシー
専用チップ,センヨウチップ
汎用プロセッサ,ハンヨウプロセッサ
ネットワーク構造,ネットワークコウゾウ
推論側,スイロンガワ
専用チップ,センヨウチップ
普通に王道,フツウニオウドウ
supercomputer,スーパーコンピューター
computerapplication,コンピューターアプリケーション
バイオヘルスケア,バイオヘルスケア
岡野原大輔,オカノハラダイスケ
2016年度,ニセンジュウロクネンド
度中,ドチュウ
チップ開発,チップカイハツ
取り組み中,トリクミチュウ
itwill,イットウィル
theopening,ザオープニング
areall,アレアルバニアレク
allhere,アルバニアレクヒアー
herein,ヒアーイン
toa,トゥアール
leapto,リープトゥ
supercomputer,スーパーコンピューター
Hearabout,ヒアーアバウト
toparallel,トゥパラレル
parallelprogram,パラレルプログラム
programming,プログラムミング
mingat,ミングアット
現在開催,ゲンザイカイサイ
開催中,カイサイチュウ
HPThe,エイチピーザ
TheTrue,ザトゥルー
少数派,ショウスウハ
slow downin,スロウダウンイン
forwardto,フォーワードトゥ
toprogress,トゥプログレス
allfemale,アルバニアレクフィーメイル
tothe,トゥザ
HPCvia,エイチピーシービア
KNUPATH,ケーエヌユーパス
PATH社,パスシャ
AMD経験,アルメニアドラムケイケン
経験者,ケイケンシャ
インターコネクト,インターコネクト
DMA採用,ディーエムエーサイヨウ
通信ベース,ツウシンベース
Chipto,チップトゥ
toLight,トゥライト
onIntel,オンインテル
IntelOmni,インテルオムニ
Pathat,パスエーティー
Isthat,アイズザット
TBin,ザイムショウタンキショウケンイン
itis,イットイズ
消費税率引き上げ,ショウヒゼイリツヒキアゲ
健全化,ケンゼンカ
支出抑制,シシュツヨクセイ
研究予算,ケンキュウヨサン
引き上げ予定,ヒキアゲヨテイ
予定税率,ヨテイゼイリツ
税率以上,ゼイリツイジョウ
andChinese,アンドチャイニーズ
forQuantum,フォークァンタム
Awesometoy,オウサムトイ
岡山大発,オカヤマダイハツ
人工筋肉ベンチャー,ジンコウキンニクベンチャー
鈴森教授,スズモリキョウジュ
革新的,カクシンテキ
計算機資源,ケイサンキシゲン
重要性,ジュウヨウセイ
計算機力,ケイサンキリョク
力戦闘,リョクセントウ
sharesecrets,シェアシークレッツ
secretsto,シークレッツトゥ
AMPDT,エーエムピーディーティー
NewGPU,ニュージーピーユー
Googleis,グーグルイズ
ona,オンアール
switchto,スイッチトゥ
anAI,アンアイ
深層学習,シンソウガクシュウ
ifthat,イフザット
thatis,ザットイズ
istrue,イズトゥルー
itwill,イットウィル
willsurpass,ウィルサーパス
fora,フォーアール
スパコンプロセッサ,スパコンプロセッサ
プロセッサ輸出禁止,プロセッサユシュツキンシ
国産スパコン,コクサンスパコン
スパコン開発,スパコンカイハツ
加速化,カソクカ
結果w,ケッカワット
地球規模,チキュウキボ
ビットCPU,ビットシーピーユー
互換ボード,ゴカンボード
万円,マンエン
大変そう,タイヘンソウ
Tianh,ティアエヌエイチ
nhe2,エヌエイチイーツー
e2a,イーツーアール
whois,フーイズ
isdaydream,イズデイドリーム
daydreaming,デイドリームアイエヌジー
ingthat,アイエヌジーザット
thatHPC,ザットエイチピーシー
HPCwill,エイチピーシーウィル
absorbed,アブソーブイーディー
thecloud,ザクラウド
matchthe,マッチザ
Amazonis,アマゾンイズ
isabout,イズアバウト
million,メートルイリオン
machinehere,マシンヒアー
hereis,ヒアーイズ
million,メートルイリオン
ドンガラ先生,ドンガラセンセイ
数週間,スウシュウカン
週間後,シュウカンゴ
後フランクフルト,ゴフランクフルト
国産スパコン,コクサンスパコン
倍以上,バイイジョウ
keynoteat,キーノートアット
Chinawill,チャイナウィル
PFpeak,ピーエフピーク
peakmachine,ピークマシン
isthe first,アイエスザファースト
paperpresent,ペーパープレゼント
presenter,プレゼントイーアール
paperon,ペーパーオン
atGeorgia,エーティージョージア
GeorgiaTech,ジョージアテック
Techbeing,テックビーイング
hisprime,ヒズプライム
openingkeynote,オープニングキーノート
新型GPU,シンガタジーピーユー
AMDRX,アルメニアドラムアールエックス
一担当,イチタントウ
担当者,タントウシャ
業務そっちのけ,ギョウムソッチノケ
数回,スウカイ
回松岡,カイマツオカ
松岡先生,マツオカセンセイ
松岡先生,マツオカセンセイ
HPC関連,エイチピーシーカンレン
関連ツイート,カンレンツイート
災害ロボット,サイガイロボット
日本惨敗,ニッポンザンパイ
HPCvia,エイチピーシービア
家電メーカー,カデンメーカー
軒並みダメ,ノキナミダメ
円高,エンダカ
国際的,コクサイテキ
競争力,キョウソウリョク
技術的,ギジュツテキ
的アドバンテージ,テキアドバンテージ
企業本体,キギョウホンタイ
札束攻勢,サツタバコウセイ
スター研究,スターケンキュウ
研究者,ケンキュウシャ
エコノミスト誌,エコノミストシ
等込,トウコミ
大学側,ダイガクガワ
研究者,ケンキュウシャ
arethe c,アレザシー
最先端研究,サイセンタンケンキュウ
５年,ゴネン
年任期,ネンニンキ
オフィススタッフ,オフィススタッフ
人事制度,ジンジセイド
改正労働契約法,カイセイロウドウケイヤクホウ
千万,センマン
億円,オクエン
上位モデル,ジョウイモデル
モデル程度,モデルテイド
数十,スウジュウ
十億,ジュウオク
億円,オクエン
atIBM,アットアイビーエム
talkat,トークアット
atconvenience,エーティーコンビニエンス
majorelectronics,メジャーエレクトロニクス
atconvenience,エーティーコンビニエンス
andtrain,アンドトレイン
trainIC,トレインアイシー
startedin,スターテッドイン
inthe,インザ
TheHPC,ザエイチピーシー
HPCcommunity,エイチピーシーコミュニティ
andthe,アンドザ
theAI,ザアイ
AIcommunity,アイコミュニティ
日本ならでは,ニッポンナラデハ
欧米ではHPC,オウベイデハエイチピーシー
AI関係,アイカンケイ
ハードソフト,ハードソフト
兆円,チョウエン
円企業,エンキギョウ
世界トップ,セカイトップ
2002年頃,ニセンニネンゴロ
では影,デハカゲ
独自プロセッサ,ドクジプロセッサ
優秀さ,ユウシュウサ
運用体制,ウンヨウタイセイ
スパコンセンター,スパコンセンター
数分の,スウブンノ
分の一,ブンノイチ
計算パワー,ケイサンパワー
運用体制,ウンヨウタイセイ
お金次第,オカネシダイ
ペタバイト級,ペタバイトキュウ
十分今,ジュウブンイマ
技術的,ギジュツテキ
ビッグデータ対応,ビッグデータタイオウ
高速化,コウソクカ
マルチペタバイト,マルチペタバイト
ペタバイト級,ペタバイトキュウ
主要メンバー,シュヨウメンバー
スマート社会,スマートシャカイ
社会基盤,シャカイキバン
基盤ＡＩ,キバンアイ
ＡＩ技術,アイギジュツ
技術研究,ギジュツケンキュウ
研究推進,ケンキュウスイシン
推進体,スイシンタイ
研究機関,ケンキュウキカン
共同研究所,キョウドウケンキュウジョ
AI応用,アイオウヨウ
脳型,ノウガタ
型コンピュータ,ガタコンピュータ
欧州Human,オウシュウヒューマン
マンチェスター大,マンチェスターダイ
万コア,マンコア
深層学習,シンソウガクシュウ
計算量,ケイサンリョウ
計算パワー,ケイサンパワー
一億,イチオク
億倍,オクバイ
AIブーム,アイブーム
知的分野,チテキブンヤ
甘利先生,アマリセンセイ
AI一般,アイイッパン
HPC分野,エイチピーシーブンヤ
データ予測,データヨソク
予測モデル,ヨソクモデル
自動生成,ジドウセイセイ
倍高速,バイコウソク
藤巻さん,フジマキサン
NECand,エヌイーシーアンド
andOsaka,アンドオオサカ
Inspired,インスピレッド
生命科学系,セイメイカガクケイ
情報系,ジョウホウケイ
心理系,シンリケイ
ネタ投票,ネタトウヒョウ
参考程度,サンコウテイド
emotional,エモーションアル
Hiroshima,ヒロシエムエー
masurvivor,エムエーサバイバー
interviewed,インタビューイーディー
microprocessing,マイクロプロセシング
HPCvia,エイチピーシービア
torun,トゥラン
西森さん,ニシモリサン
数百,スウヒャク
百キュービット,ヒャクキュービット
四年,ヨンネン
キュービット数,キュービットスウ
心臓部,シンゾウブ
部チップ,ブチップ
黒い箱,クロイバコ
禁煙国家,キンエンコッカ
Yahooニュース,ヤフーニュース
インチフロッピー,インチフロッピー
名古屋大学情報基盤センター,ナゴヤダイガクジョウホウキバンセンター
スパコンFX,スパコンエフエックス
国内大学,コクナイダイガク
京コンピュータ,キョウコンピュータ
上位機種,ジョウイキシュ
計算科学者,ケイサンカガクシャ
標的型,ヒョウテキガタ
型攻撃,ガタコウゲキ
攻撃メール,コウゲキメール
慶應義塾湘南,ケイオウギジュクショウナン
湘南藤沢,ショウナンフジサワ
藤沢ITC,フジサワアイティーシー
Thanksfor,サンクスフォー
forthe,フォーザ
南海トラフ想定,ナンカイトラフソウテイ
想定震源,ソウテイシンゲン
震源域,シンゲンイキ
分布状態,ブンプジョウタイ
人工知能研究,ジンコウチノウケンキュウ
甘利先生,アマリセンセイ
willyou,ウィルユウ
youdo,ユウドー
dowith,ドーウィズ
小保方さん,オボカタサン
対談記事,タイダンキジ
影響力,エイキョウリョク
メディア自ら,メディアミズカラ
捏造事件,ネツゾウジケン
先進的,センシンテキ
機関ランキング,キカンランキング
日用品メーカー,ニチヨウヒンメーカー
生き死,イキシ
テレビ局しだい,テレビキョクシダイ
１人,イチニン
大企業並み,ダイキギョウナミ
力関係,チカラカンケイ
keynoteat,キーノートエーティー
atOsaka,エーティーオオサカ
screenon,スクリーンオン
ona,オンアール
display,ディーアイスプレイ
splaywall,スプレイウォール
情報科学科,ジョウホウカガクカ
Pascalプログラミング,パスカルプログラミング
吸引式,キュウインシキ
オープンリールテープ,オープンリールテープ
テープ装着,テープソウチャク
カートリッジ式,カートリッジシキ
人自体,ヒトジタイ
所有者,ショユウシャ
インチ時代,インチジダイ
それ全く,ソレゼンク
全く順序,ゼンクジュンジョ
片面ディスケット,カタメンディスケット
徹底研究,テッテイケンキュウ
研究インターフェース,ケンキュウインターフェース
1979年7月,センキュウヒャクナナジュウキュウネンシチガツ
7月号,シチガツゴウ
ミニフロッピー,ミニフロッピー
中心人物,チュウシンジンブツ
メモリシミュレータ,メモリシミュレータ
メモリ周り,メモリマワリ
racebetween,レースビトゥウィン
betweenChina,ビトゥウィンチャイナ
Franceand,フランスアンド
andthe,アンドザ
米Google,ベイグーグル
深層学習,シンソウガクシュウ
学習専用,ガクシュウセンヨウ
専用プロセッサ,センヨウプロセッサ
特定高速,トクテイコウソク
高速電子計算機,コウソクデンシケイサンキ
電子計算機施設,デンシケイサンキシセツ
配付資料,ハイフシリョウ
年4月26日,ネンシガツニジュウロクニチ
RThas,アールティーハス
chipfor,チップフォー
デイリーたけお,デイリータケオ
isout,アイエスアウト
ワカモノ,ワカモノ
い人達,イジンタチ
インチ時代,インチジダイ
当時メディア,トウジメディア
メディア代,メディアダイ
角切り,カクギリ
片面フロッピー,カタメンフロッピー
フロッピーメディア,フロッピーメディア
JPEG画像,ジェイペグガゾウ
一枚,イチマイ
当時天国,トウジテンゴク
the€,ザユーロ
QuantumEU,クァンタムイーユー
getsa,ゲッツアール
aboost,アールブースト
IBMResearch,アイビーエムリサーチ
Onestep,ワンステップ
stepcloser,ステップクローサー
closerto,クローサートゥ
touniversal,トゥユニバーサル
veryenthusia,ベリイエンスージア
Happyprogram,ハッピープログラム
likethe,ライクザ
theprogram,ザプログラム
yearis,イヤーイズ
CPUby,シーピーユービーワイ
Because,ビーコーズ
causewhy,コーズホワイ
inthe,インザ
forDeep,フォーディープ
数百,スウヒャク
百億,ヒャクオク
億円,オクエン
結局二,ケッキョクニ
二千,ニセン
千億,センオク
数分の,スウブンノ
分の一,ブンノイチ
大都市全体,ダイトシゼンタイ
物理的,ブツリテキ
的側面,テキソクメン
仮想センサー,カソウセンサー
AI研究,アイケンキュウ
京や地球シミュレータ,キョウヤチキュウシミュレータ
数千,スウセン
千平方メートル,センヘイホウメートル
平方メートル程度,ヘイホウメートルテイド
数十,スウジュウ
十メガワット,ジュウメガワット
ディズニーリゾート,ディズニーリゾート
計算パワー,ケイサンパワー
ML分野,エムエルブンヤ
ラック単精度,ラックタンセイド
単精度エクサ,タンセイドエクサ
コア数,コアスウ
Amazon全体,アマゾンゼンタイ
全体程度,ゼンタイテイド
エクサフロップ,エクサフロップ
万コア,マンコア
raw容量,ロウヨウリョウ
各種パラメータ,カクシュパラメータ
最適化,サイテキカ
注目記事,チュウモクキジ
馳浩,ハセヒロシ
大学Ｍ＆Ａ,ダイガクエムアンドエー
私学同士,シガクドウシ
arXiv等,アーカイブトウ
等連,トウレン
連ツイ,レンツイ
複雑化,フクザツカ
萌芽的,ホウガテキ
温水冷却,オンスイレイキャク
次世代Xeon,ジセダイジーオン
PCクラスター,ピーシークラスター
CERN検出,セルンケンシュツ
検出器,ケンシュツキ
紹介資料,ショウカイシリョウ
一般HPC,イッパンエイチピーシー
組込み系,クミコミケイ
飛躍的,ヒヤクテキ
的進歩,テキシンポ
百万,ヒャクマン
万並列,マンヘイレツ
マシン上,マシンジョウ
数値アルゴリズム,スウチアルゴリズム
科学的,カガクテキ
的発見,テキハッケン
techreview,テックレビュー
東工大大学院,トウコウダイダイガクイン
年9月,ネンクガツ
年4月,ネンシガツ
4月入学,シガツニュウガク
各種外国語,カクシュガイコクゴ
外国語試験,ガイコクゴシケン
公式スコア,コウシキスコア
スコアシート,スコアシート
進学相談,シンガクソウダン
研究開発費,ケンキュウカイハツヒ
費一般,ヒイッパン
活発化,カッパツカ
ベース資金,ベースシキン
直接基礎研究,チョクセツキソケンキュウ
基礎物理,キソブツリ
物理プロジェクト,ブツリプロジェクト
精細CCD,セイサイシーシーディー
処理技術,ショリギジュツ
先進的,センシンテキ
産業応用,サンギョウオウヨウ
基礎学問,キソガクモン
新台入れ替え,シンダイイレカエ
１台,イチダイ
台追加,ダイツイカ
５台,ゴダイ
台入れ替え,ダイイレカエ
１台,イチダイ
台復活,ダイフッカツ
松岡自身,マツオカジシン
誠実さ,セイジツサ
レントゲン写真,レントゲンシャシン
一泊,イチハク
一万,イチマン
万九,マンキュウ
九千,キュウセン
千四,センヨン
四百,ヨンヒャク
百円,ヒャクエン
二万,ニマン
万九,マンキュウ
九千,キュウセン
千四,センヨン
四百,ヨンヒャク
百円,ヒャクエン
宿泊費,シュクハクヒ
TOKYOWeb,トウキョウWeb
契約旅行代理店,ケイヤクリョコウダイリテン
幾ら頑丈,イクラガンジョウ
精密IT,セイミツアイティー
IT機器,アイティーキキ
購入時,コウニュウジ
年以上,ネンイジョウ
延長保証,エンチョウホショウ
MSSurface,エムエスサーフィス
軽量性,ケイリョウセイ
分解修理,ブンカイシュウリ
修理サービス,シュウリサービス
一台,イチダイ
SSD部分,エスエスディーブブン
内容的,ナイヨウテキ
的意義,テキイギ
予算的,ヨサンテキ
的意義,テキイギ
最初年,サイショネン
大学全体,ダイガクゼンタイ
教育成果,キョウイクセイカ
無理芸,ムリゲイ
運営費交付金,ウンエイヒコウフキン
大学執行部,ダイガクシッコウブ
ホテル宿泊,ホテルシュクハク
宿泊費,シュクハクヒ
多く大学,オオクダイガク
民間大企業,ミンカンダイキギョウ
国外出張,コクガイシュッチョウ
世界的,セカイテキ
宿泊費,シュクハクヒ
費高騰,ヒコウトウ
旅費規定,リョヒキテイ
勤務先,キンムサキ
宿泊費,シュクハクヒ
費高騰,ヒコウトウ
国外旅費,コクガイリョヒ
旅費規定,リョヒキテイ
国内旅費,コクナイリョヒ
旅費規定,リョヒキテイ
ここ数,ココスウ
数年,スウネン
国内大都市,コクナイダイトシ
宿泊費,シュクハクヒ
妥当性,ダトウセイ
宿泊費,シュクハクヒ
ドル以下,ドルイカ
ジョージア工科,ジョージアコウカ
工科大,コウカダイ
forSC,フォーエスシィ
HPCvia,エイチピーシービア
arestill,アレスティル
stillunder,スティルアンダー
underIntel,アンダーインテル
IntelNDA,インテルエヌディーエー
ポスト京,ポストキョウ
京開発,キョウカイハツ
特設サイト,トクセツサイト
サイト公開,サイトコウカイ
定番学習,テイバンガクシュウ
学習器,ガクシュウキ
パラメータ群,パラメータグン
Post,ピーオーエスティー
ostT2K,オーエスティーティーツーケーセンシュウトライブワイビーベース
PFSC,ピーエフエスシィ
SChas,エスシィハス
NWover,エヌダブリューオーバー
Tianh,ティアエヌエイチ
nhe2,エヌエイチイーツー
e2as,イーツーアズ
asworld,アズワールド
通信量,ツウシンリョウ
平均通信,ヘイキンツウシン
通信速度,ツウシンソクド
トップスパコン,トップスパコン
スパコン一,スパコンイチ
一台,イチダイ
内部通信,ナイブツウシン
通信容量,ツウシンヨウリョウ
スパコン以外,スパコンイガイ
内部バンド,ナイブバンド
バンド幅,バンドハバ
調達成功,チョウタツセイコウ
国内最速,コクナイサイソク
スーパーコンピューター,スーパーコンピューター
４分の,ヨンブンノ
分の１,ブンノイチ
２倍,ニバイ
倍以上,バイイジョウ
今年12月,コトシジュウニガツ
試験運用,シケンウンヨウ
PFSC,ピーエフエスシィ
tofollow,トゥフォロー
Supercomputer,スーパーコンピューター
computerat,コンピューターアット
HPCvia,エイチピーシービア
東京大学情報基盤センター様,トウキョウダイガクジョウホウキバンセンターサマ
弊社製品,ヘイシャセイヒン
SFA1,エスエフエーワン
A14K,エーワンフォーケイ
4Kおよび,フォーケイオヨビ
detailsthe,ディテールズザ
marriageat,マリッジアット
国内最速,コクナイサイソク
最速スパコン,サイソクスパコン
Chinawill,チャイナウィル
HPCby,エイチピーシービーワイ
byin,ビーワイイン
HPCvia,エイチピーシービア
Appleaccessories,アップルアクセサリーズ
Againlook,アゲインルック
lookforward,ルックフォーワード
forwardto,フォーワードトゥ
tothe,トゥザ
Chinesesuper,チャイニーズスーパー
supercomputer,スーパーコンピューター
tothe,トゥザ
toClose,トゥクローズ
CloseMay,クローズメイ
To be continuedat,トゥービーコンティニュードアット
ina,インアール
アップル税,アップルゼイ
TheGeForce,ザジーフォース
GBGD,ギガバイトゴールデンドーン
GDDR,ゴールデンドーンディーアール
DRX5,ディーアールエックススリー
Available,アベイルエイブル
ableMay,エイブルメイ
th.,トンエイチ
利用可能,リヨウカノウ
クラウドサービス,クラウドサービス
サービス開始,サービスカイシ
利害関係者,リガイカンケイシャ
米国特有,ベイコクトクユウ
大学管理,ダイガクカンリ
管理方式,カンリホウシキ
政府官僚,セイフカンリョウ
対極的,タイキョクテキ
forBeginner,フォービギナー
youare,ユウアレ
talkon,トークオン
onChina,オンチャイナ
supercomputer,スーパーコンピューター
computerat,コンピューターアット
commonsub,コモンサブスクリプト
submission,サブスクリプトミッション
HPCto,エイチピーシートゥ
機械学習アルゴリズム,キカイガクシュウアルゴリズム
高い合成,コウイゴウセイ
合成法,ゴウセイホウ
asSMP,アズエスエムピー
SMPwas,エスエムピーワイドエリアサーチ
wasfor,ワイドエリアサーチフォー
toreach,トゥリーチ
nowthat,ナウザット
thatMoore,ザットムーア
toget,トゥゲット
getreal,ゲットレアル
カーネギーメロン,カーネギーメロン
メロン大,メロンダイ
コンピューターサイエンス,コンピューターサイエンス
サイエンス学,サイエンスガク
学部長,ガクブチョウ
人材流出,ジンザイリュウシュツ
流出問題,リュウシュツモンダイ
atUK,アットユーケー
HPCvia,エイチピーシービア
atthe,アットザ
大統領本人,ダイトウリョウホンニン
意思決定力,イシケッテイリョク
ノウハウ公開,ノウハウコウカイ
独機械,ドクキカイ
機械大手,キカイオオテ
大手幹部,オオテカンブ
国際連携,コクサイレンケイ
学術論文,ガクジュツロンブン
オープンアクセス運動,オープンアクセスウンドウ
出版モデル,シュッパンモデル
有料会員,ユウリョウカイイン
会員登録,カイイントウロク
endsMay,エンズメイ
HPCvia,エイチピーシービア
佐藤さん,サトウサン
お勧め資料,オススメシリョウ
資料TensorFlow,シリョウテンソーフロー
丸一,マルイチ
一日,イチニチ
秒程度,ビョウテイド
GoogleCEO,グーグルシーイーオー
willmove,ウィルムーヴ
mobilefirst,モバイルファースト
firstto,ファーストトゥ
toan,トゥアン
anAI,アンアイ
AIfirst,アイファースト
firstworld,ファーストワールド
勝１,ショウイチ
１敗,イチハイ
米投資,ベイトウシ
投資会社,トウシカイシャ
2014年３月,ニセンジュウヨネンサンガツ
１日,イチニチ
熟練トレーダー,ジュクレントレーダー
IoT系,アイオーティーケイ
兆円,チョウエン
売上数,ウリアゲスウ
数兆,スウチョウ
兆円,チョウエン
それ以下,ソレイカ
資金力,シキンリョク
会社活用,カイシャカツヨウ
ため外注,タメガイチュウ
ビッグデータ話,ビッグデータバナシ
